Nomor Peraturan,Judul,Detail URL,Document URL,Document Type
PMK 16 TAHUN 2024,Perubahan atas Peraturan Menteri Keuangan Nomor 19 Tahun 2023 tentang Pengelolaan Dana Bagi Hasil dan/atau Dana Alokasi Umum yang Disalurkan secara Nontunai melalui Fasilitas Treasury Deposit Facility,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/fa768369-81ea-42df-a2d0-08dc49699978,https://jdih.kemenkeu.go.id/download/2e9b332d-05e0-4a75-92d8-d31bb43ed4a8/2024pmkeuangan016.pdf.pdf,pdf
PMK 15 TAHUN 2024,"Petunjuk Teknis Pelaksanaan Pemberian Tunjangan Hari Raya dan Gaji Ketiga Belas kepada Aparatur Negara, Pensiunan, Penerima Pensiun, dan Penerima Tunjangan Tahun 2024 yang Bersumber dari Anggaran Pendapatan dan Belanja Negara",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/b22cb1d2-a3eb-4be1-a2cf-08dc49699978,https://jdih.kemenkeu.go.id/download/e755f420-f72e-4d05-ad7a-314deb94a986/2024pmkeuangan015.pdf.pdf,pdf
PMK 14 TAHUN 2024,Tata Cara Penyaluran Hibah kepada Daerah,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/255fdf90-e9e7-41b7-2a1c-08dc3cb2c25f,https://jdih.kemenkeu.go.id/download/48f18182-0d30-4473-a88e-6fc49072b5f2/2024pmkeuangan014.pdf,pdf
PMK 13 TAHUN 2024,Jenis dan Tarif atas Jenis Penerimaan Negara Bukan Pajak Kebutuhan Mendesak yang Berlaku pada Badan Informasi Geospasial,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/919c94c6-b49f-4cfd-e5f8-08dc3da5c1f0,https://jdih.kemenkeu.go.id/download/4883e1df-6721-406b-9ebb-ecad6b23c099/2024pmkeuangan013.pdf.pdf,pdf
PMK 12 TAHUN 2024,Pedoman Penggunaan Sistem Informasi Kredit Program,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/5c6b0564-7d08-413a-e5f6-08dc3da5c1f0,https://jdih.kemenkeu.go.id/download/d8458f48-d10c-4d71-8c8c-fa402c003d47/2024pmkeuangan012.pdf.pdf,pdf
PMK 11 TAHUN 2024,Perubahan atas Peraturan Menteri Keuangan Nomor 219/PMK.04/2022 tentang Tata Cara Pengenaan Tarif Bea Masuk atas Barang Impor berdasarkan Perjanjian Kemitraan Ekonomi Komprehensif antara Pemerintah Republik Indonesia dan Pemerintah Republik Korea,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/ecf955a6-5caf-4005-2a1b-08dc3cb2c25f,https://jdih.kemenkeu.go.id/download/8de4c7a0-4190-475c-ae39-0147289ae0a5/2024pmkeuangan011.pdf,pdf
PMK 10 TAHUN 2024,Perubahan atas Peraturan Menteri Keuangan Nomor 26/PMK.010/2022 tentang Penetapan Sistem Klasifikasi Barang dan Pembebanan Tarif Bea Masuk atas Barang Impor,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/98fd99cf-ae97-48b9-c1aa-08dc31c06c4a,https://jdih.kemenkeu.go.id/download/f81eaacb-b3f2-478f-945f-40b3a640b0bc/2024pmkeuangan010.pdf,pdf
PMK 9 TAHUN 2024,Pajak Penjualan atas Barang Mewah atas Impor dan/atau Penyerahan Barang Kena Pajak yang Tergolong Mewah Berupa Kendaraan Bermotor Listrik Berbasis Baterai Tertentu yang Ditanggung Pemerintah Tahun Anggaran 2024,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/4cafdc58-cd02-4d5e-c1a9-08dc31c06c4a,https://jdih.kemenkeu.go.id/download/125f80d5-de96-4155-8955-f40bb5a93cbf/2024pmkeuangan009.pdf,pdf
PMK 8 TAHUN 2024,Pajak Pertambahan Nilai atas Penyerahan Kendaraan Bermotor Listrik Berbasis Baterai Roda Empat Tertentu dan Kendaraan Bermotor Listrik Berbasis Baterai Bus Tertentu yang Ditanggung Pemerintah Tahun Anggaran 2024,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/6e35b957-3c33-4939-c1a8-08dc31c06c4a,https://jdih.kemenkeu.go.id/download/7178d808-6b33-415c-ba1c-087952552b0c/2024pmkeuangan008.pdf,pdf
PMK 7 TAHUN 2024,Pajak Pertambahan Nilai atas Penyerahan Rumah Tapak dan Saturan Rumah Susun yang Ditanggung Pemerintah Tahun Anggaran 2024,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/bba7faf1-3fa1-4a8b-c1a7-08dc31c06c4a,https://jdih.kemenkeu.go.id/download/73f0181d-4acb-47d4-aa62-82043806eef8/2024pmkeuangan007.pdf,pdf
