id,nomor_peraturan,judul,tahun,no,definisi,singkatan,heading
76-pmk.03-2010,76/PMK.03/2010,Tata Cara Pengajuan dan Penyelesaian Permintaan Kembali Pajak Pertambahan Nilai Barang Bawaan Orang Pribadi Pemegang Paspor Luar Negeri.,2010,76,"['Orang Pribadi Pemegang Paspor Luar Negeri,', 'Barang Bawaan', 'Toko Retail', 'Unit Pelaksana Restitusi Pajak Pertambahan Nilai Bandar Udara', 'Konter Pemeriksaan Barang Bawaan', 'Konter Pembayaran', 'Kantor Pelayanan Pajak', 'Kantor Pelayanan Perbendaharaan Negara', 'Faktur Pajak Khusus', 'Nota Persetujuan Pengembalian Kelebihan Pembayaran Pajak Pertambahan Nilai', 'Uang Persediaan', 'Uang Muka Restitusi Pajak Pertambahan Nilai', 'Bendahara pengeluaran', 'Bendahara Pengeluaran Pembantu', 'Pemegang Uang Muka Restitusi Pajak Pertambahan Nilai', 'Surat Perintah Membayar Uang Persediaan', 'SPM UP Pengembalian', 'Surat Keputusan Pengembalian Kelebihan Pembayaran Pajak', 'Surat Perintah Membayar Kelebihan Pajak', 'Surat Perintah Pencairan Dana']","['Orang Pribadi,', 'KPP', 'KPPN', 'SPM UP', 'SKPKPP', 'SPMKP', 'SP2D']","['KETENTUAN UMUM', 'PERMINTAAN PENGEMBALIAN PAJAK PERTAMBAHAN NILAI ORANG PRIBADI', 'PENYELESAIAN PERMINTAAN PENGEMBALIAN PAJAK PERTAMBAHAN NILAI ORANG PRIBADI', 'PELAPORAN DAN PERTANGGUNGJAWABAN PEMBAYARAN PENGEMBALIAN PAJAK PERTAMBAHAN NILAI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Pengertian', 'Ruang Lingkup', 'Cara Pembayaran Pengembalian Pajak Pertambahan Nilai Orang Pribadi', 'Pengujian Permintaan Pengembalian', 'Penyediaan Uang Muka Restitusi Pajak Pertambahan Nilai', 'Pelaksanaan Pembayaran Pengembalian', 'Penyediaan Uang Muka Restitusi Pajak Pertambahan Nilai Pada Pergantian Tahun Anggaran']"
227-pmk.05-2011,227/PMK.05/2011,Penyusunan dan Pengesahan Daftar Isian Pelaksanaan Anggaran Lanjutan Penerusan Pinjaman Tahun Anggaran 2012 dengan Sumber Dana Dari Sisa Anggaran Penerusan Pinjaman Tahun Anggaran 2011.,2011,227,"['Kuasa Pengguna Anggaran Penerusan Pinjaman', 'Pengguna Dana Penerusan Pinjaman', 'Daftar Isian Pelaksanaan Anggaran Lanjutan Penerusan Pinjaman']",['DIPA-L PP'],"['KETENTUAN UMUM', 'SISA ANGGARAN YANG DILANJUTKAN DAN KEGIATAN YANG DIBIAYAI', 'TATA CARA PENYUSUNAN DAN PENGESAHAN DIPA-L PP', 'PENCAIRAN DANA, PERTANGGUNGJAWABAN, DAN PELAPORAN', 'KETENTUAN PENUTUP']"
38-pmk.05-2012,38/PMK.05/2012,Tarif Layanan Badan Layanan Umum Institut Agama Islam Negeri Mataram pada Kementerian Agama.,2012,38,['Tarif Layanan Badan Layanan Umum Institut Agama Islam Negeri Mataram pada Kementerian Agama'],[],[]
149-pmk.03-2011,149/PMK.03/2011,Sensus Pajak Nasional.,2011,149,['Sensus pajak nasional sebagaimana dimaksud pada ayat (1)'],[],[]
20-pmk.04-2018,20/PMK.04/2018,Perubahan atas Peraturan Menteri Keuangan Nomor 148/PMK.04/2015 tentang Pembebasan Bea Masuk atas Impor Barang untuk Keperluan Badan Internasional Beserta Pejabatnya yang Bertugas di Indonesia.,2018,20,[],[],[]
perpres-44-tahun-2013,PERPRES 44 TAHUN 2013,Penyesuaian Gaji Pokok Pegawai Negeri Sipil Menurut Peraturan Pemerintah Nomor 15 Tahun 2012 Ke dalam Gaji  Pokok Pegawai Negeri Sipil Menurut Peraturan Pemerintah Nomor 22  Tahun 2013.,2013,44,['Rincian penyesuaian gaji pokok sebagaimana dimaksud pada ayat (1)'],[],[]
35-pmk.07-2013,35/PMK.07/2013,Perubahan atas Peraturan Menteri Keuangan Nomor 205/PMK.07/2012 tentang Alokasi Sementara Dana Bagi Hasil Pajak Bumi dan Bangunan Tahun Anggaran 2013.,2013,35,[],[],[]
185-pmk.07-2013,185/PMK.07/2013,Perubahan atas Peraturan Menteri Keuangan Nomor 207/PMK.07/2012 tentang Perkiraan Alokasi Dana Bagi Hasil Sumber Daya Alam Perikanan Tahun Anggaran 2013.,2013,185,"['Perkiraan alokasi DBH SDA Perikanan Tahun Anggaran 2013', 'Dana Cadangan DBH SDA Perikanan sebagaimana dimaksud pada ayat (2) huruf b']",[],[]
133-pmk.01-2017,133/PMK.01/2017,Pencabutan atas Peraturan Menteri Keuangan Nomor 44/PMK.01/2007 tentang Sinergi Tugas dan Proses Bisnis di Bidang Kebijakan Fiskal dan Rancangan Anggaran Pendapatan dan Belanja Negara.,2017,133,[],[],[]
230-pmk.07-2014,230/PMK.07/2014,Perubahan atas Peraturan Menteri Keuangan Nomor 82/PMK.07/2014 tentang Perkiraan Alokasi Dana Bagi Hasil Sumber Daya Alam Pertambangan Minyak Bumi dan Gas Bumi Tahun Anggaran 2014.,2014,230,[],[],[]
