id,nomor_peraturan,judul,tahun,no,definisi,singkatan,heading,keywords
76-pmk.03-2010,76/PMK.03/2010,Tata Cara Pengajuan dan Penyelesaian Permintaan Kembali Pajak Pertambahan Nilai Barang Bawaan Orang Pribadi Pemegang Paspor Luar Negeri,2010,76,"['Orang Pribadi Pemegang Paspor Luar Negeri', 'Barang Bawaan', 'Toko Retail', 'Unit Pelaksana Restitusi Pajak Pertambahan Nilai Bandar Udara', 'Konter Pemeriksaan Barang Bawaan', 'Konter Pembayaran', 'Kantor Pelayanan Pajak', 'Kantor Pelayanan Perbendaharaan Negara', 'Faktur Pajak Khusus', 'Nota Persetujuan Pengembalian Kelebihan Pembayaran Pajak Pertambahan Nilai', 'Uang Persediaan', 'Uang Muka Restitusi Pajak Pertambahan Nilai', 'Bendahara pengeluaran', 'Bendahara Pengeluaran Pembantu', 'Pemegang Uang Muka Restitusi Pajak Pertambahan Nilai', 'Surat Perintah Membayar Uang Persediaan', 'SPM UP Pengembalian', 'Surat Keputusan Pengembalian Kelebihan Pembayaran Pajak', 'Surat Perintah Membayar Kelebihan Pajak', 'Surat Perintah Pencairan Dana']","['Orang Pribadi', 'KPP', 'KPPN', 'SPM UP', 'SKPKPP', 'SPMKP', 'SP2D']","['KETENTUAN UMUM', 'PERMINTAAN PENGEMBALIAN PAJAK PERTAMBAHAN NILAI ORANG PRIBADI', 'PENYELESAIAN PERMINTAAN PENGEMBALIAN PAJAK PERTAMBAHAN NILAI ORANG PRIBADI', 'PELAPORAN DAN PERTANGGUNGJAWABAN PEMBAYARAN PENGEMBALIAN PAJAK PERTAMBAHAN NILAI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Pengertian', 'Ruang Lingkup', 'Cara Pembayaran Pengembalian Pajak Pertambahan Nilai Orang Pribadi', 'Pengujian Permintaan Pengembalian', 'Penyediaan Uang Muka Restitusi Pajak Pertambahan Nilai', 'Pelaksanaan Pembayaran Pengembalian', 'Penyediaan Uang Muka Restitusi Pajak Pertambahan Nilai Pada Pergantian Tahun Anggaran']","['Orang Pribadi Pemegang Paspor Luar Negeri', 'Barang Bawaan', 'Toko Retail', 'Unit Pelaksana Restitusi Pajak Pertambahan Nilai Bandar Udara', 'Konter Pemeriksaan Barang Bawaan', 'Konter Pembayaran', 'Kantor Pelayanan Pajak', 'Kantor Pelayanan Perbendaharaan Negara', 'Faktur Pajak Khusus', 'Nota Persetujuan Pengembalian Kelebihan Pembayaran Pajak Pertambahan Nilai', 'Uang Persediaan', 'Uang Muka Restitusi Pajak Pertambahan Nilai', 'Bendahara pengeluaran', 'Bendahara Pengeluaran Pembantu', 'Pemegang Uang Muka Restitusi Pajak Pertambahan Nilai', 'Surat Perintah Membayar Uang Persediaan', 'SPM UP Pengembalian', 'Surat Keputusan Pengembalian Kelebihan Pembayaran Pajak', 'Surat Perintah Membayar Kelebihan Pajak', 'Surat Perintah Pencairan Dana', 'PERMINTAAN PENGEMBALIAN PAJAK PERTAMBAHAN NILAI ORANG PRIBADI', 'PENYELESAIAN PERMINTAAN PENGEMBALIAN PAJAK PERTAMBAHAN NILAI ORANG PRIBADI', 'PELAPORAN DAN PERTANGGUNGJAWABAN PEMBAYARAN PENGEMBALIAN PAJAK PERTAMBAHAN NILAI', 'Pengertian', 'Ruang Lingkup', 'Cara Pembayaran Pengembalian Pajak Pertambahan Nilai Orang Pribadi', 'Pengujian Permintaan Pengembalian', 'Penyediaan Uang Muka Restitusi Pajak Pertambahan Nilai', 'Pelaksanaan Pembayaran Pengembalian', 'Penyediaan Uang Muka Restitusi Pajak Pertambahan Nilai Pada Pergantian Tahun Anggaran']"
227-pmk.05-2011,227/PMK.05/2011,Penyusunan dan Pengesahan Daftar Isian Pelaksanaan Anggaran Lanjutan Penerusan Pinjaman Tahun Anggaran 2012 dengan Sumber Dana Dari Sisa Anggaran Penerusan Pinjaman Tahun Anggaran 2011,2011,227,"['Kuasa Pengguna Anggaran Penerusan Pinjaman', 'Pengguna Dana Penerusan Pinjaman', 'Daftar Isian Pelaksanaan Anggaran Lanjutan Penerusan Pinjaman']",['DIPA-L PP'],"['KETENTUAN UMUM', 'SISA ANGGARAN YANG DILANJUTKAN DAN KEGIATAN YANG DIBIAYAI', 'TATA CARA PENYUSUNAN DAN PENGESAHAN DIPA-L PP', 'PENCAIRAN DANA, PERTANGGUNGJAWABAN, DAN PELAPORAN', 'KETENTUAN PENUTUP']","['Kuasa Pengguna Anggaran Penerusan Pinjaman', 'Pengguna Dana Penerusan Pinjaman', 'Daftar Isian Pelaksanaan Anggaran Lanjutan Penerusan Pinjaman', 'SISA ANGGARAN YANG DILANJUTKAN DAN KEGIATAN YANG DIBIAYAI', 'TATA CARA PENYUSUNAN DAN PENGESAHAN DIPA-L PP', 'PENCAIRAN DANA, PERTANGGUNGJAWABAN, DAN PELAPORAN']"
38-pmk.05-2012,38/PMK.05/2012,Tarif Layanan Badan Layanan Umum Institut Agama Islam Negeri Mataram pada Kementerian Agama,2012,38,['Tarif Layanan Badan Layanan Umum Institut Agama Islam Negeri Mataram pada Kementerian Agama'],[],[],['Tarif Layanan Badan Layanan Umum Institut Agama Islam Negeri Mataram pada Kementerian Agama']
149-pmk.03-2011,149/PMK.03/2011,Sensus Pajak Nasional,2011,149,['Sensus pajak nasional'],[],[],['Sensus pajak nasional']
perpres-44-tahun-2013,PERPRES 44 TAHUN 2013,Penyesuaian Gaji Pokok Pegawai Negeri Sipil Menurut Peraturan Pemerintah Nomor 15 Tahun 2012 Ke dalam Gaji  Pokok Pegawai Negeri Sipil Menurut Peraturan Pemerintah Nomor 22  Tahun 2013,2013,44,['Rincian penyesuaian gaji pokok'],[],[],['Rincian penyesuaian gaji pokok']
pp-4-tahun-2013,PP 4 TAHUN 2013,Tata Cara Pelaksanaan Penempatan Tenaga Kerja Indonesia di Luar Negeri oleh Pemerintah,2013,4,"['Calon Tenaga Kerja Indonesia', 'Tenaga Kerja Indonesia', 'Penempatan TKI', 'Pembekalan Akhir Pemberangkatan', 'Kartu Tenaga Kerja Luar Negeri', 'Pengguna Berbadan Hukum', 'Pemerintah', 'Perjanjian Penempatan TKI oleh Pemerintah', 'Perjanjian Kerja', 'Perwakilan Republik Indonesia di Luar Negeri', 'Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia', 'Dinas Provinsi', 'Dinas Kabupaten/Kota', 'Menteri']","['calon TKI', 'TKI', 'Perjanjian Penempatan TKI', 'Perwakilan', 'BNP2TKI']","['KETENTUAN UMUM', 'TATA CARA PELAKSANAAN PENEMPATAN TKI', 'PERLINDUNGAN TKI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Umum', 'Teknis Pelaksanaan Penempatan TKI']","['Calon Tenaga Kerja Indonesia', 'Tenaga Kerja Indonesia', 'Penempatan TKI', 'Pembekalan Akhir Pemberangkatan', 'Kartu Tenaga Kerja Luar Negeri', 'Pengguna Berbadan Hukum', 'Pemerintah', 'Perjanjian Penempatan TKI oleh Pemerintah', 'Perjanjian Kerja', 'Perwakilan Republik Indonesia di Luar Negeri', 'Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia', 'Dinas Provinsi', 'Dinas Kabupaten/Kota', 'Menteri', 'TATA CARA PELAKSANAAN PENEMPATAN TKI', 'PERLINDUNGAN TKI', 'Umum', 'Teknis Pelaksanaan Penempatan TKI']"
69-pmk.02-2010,69/PMK.02/2010,Tata Cara Revisi Anggaran Tahun Anggaran 2010,2010,69,"['Revisi Anggaran', 'Rencana Kerja dan Anggaran Kementerian Negara/Lembaga', 'Satuan Anggaran Per Satuan Kerja', 'Daftar Isian Pelaksanaan Anggaran', 'Hasil Optimalisasi', 'Perubahan Pagu Penerimaan Negara Bukan Pajak (PNBP', 'Luncuran Pinjaman/Hibah Luar Negeri (PHLN) atau Pinjaman/Hibah Dalam Negeri (PHDN', 'Biaya Operasional', 'Target Kinerja', 'Sasaran Program', 'Keluaran ( output', 'Komponen Input']",[],"['KETENTUAN UMUM', 'REVISI ANGGARAN', 'TATA CARA REVISI ANGGARAN DAN PENGESAHAN REVISI DIPA', 'PELAPORAN REVISI ANGGARAN KEPADA DPR-RI', 'KETENTUAN PENUTUP', 'Ruang Lingkup Revisi Anggaran', 'Batasan Revisi Anggaran', 'Revisi Anggaran Pada Direktorat Jenderal Anggaran', 'Revisi Anggaran pada Kantor Pusat/ Kantor Wilayah Direktorat Jenderal Perbendaharaan', 'Revisi Anggaran Pada Pengguna Anggaran/ Kuasa Pengguna Anggaran', 'Pengesahan dan Penyampaian Revisi DIPA', 'Revisi Anggaran Yang Memerlukan Persetujuan DPR-RI', 'Revisi Anggaran Yang Memerlukan Persetujuan Menteri Keuangan', 'Batas Akhir Penerimaan Usul Revisi Anggaran']","['Revisi Anggaran', 'Rencana Kerja dan Anggaran Kementerian Negara/Lembaga', 'Satuan Anggaran Per Satuan Kerja', 'Daftar Isian Pelaksanaan Anggaran', 'Hasil Optimalisasi', 'Perubahan Pagu Penerimaan Negara Bukan Pajak (PNBP', 'Luncuran Pinjaman/Hibah Luar Negeri (PHLN) atau Pinjaman/Hibah Dalam Negeri (PHDN', 'Biaya Operasional', 'Target Kinerja', 'Sasaran Program', 'Keluaran ( output', 'Komponen Input', 'REVISI ANGGARAN', 'TATA CARA REVISI ANGGARAN DAN PENGESAHAN REVISI DIPA', 'PELAPORAN REVISI ANGGARAN KEPADA DPR-RI', 'Ruang Lingkup Revisi Anggaran', 'Batasan Revisi Anggaran', 'Revisi Anggaran Pada Direktorat Jenderal Anggaran', 'Revisi Anggaran pada Kantor Pusat/ Kantor Wilayah Direktorat Jenderal Perbendaharaan', 'Revisi Anggaran Pada Pengguna Anggaran/ Kuasa Pengguna Anggaran', 'Pengesahan dan Penyampaian Revisi DIPA', 'Revisi Anggaran Yang Memerlukan Persetujuan DPR-RI', 'Revisi Anggaran Yang Memerlukan Persetujuan Menteri Keuangan', 'Batas Akhir Penerimaan Usul Revisi Anggaran']"
225-pmk.011-2013,225/PMK.011/2013,"Tata Cara Pemberian Jaminan Kelayakan Usaha Pt Perusahaan Listrik Negara (Persero) untuk Pembangunan Pembangkit Tenaga Listrik dengan Menggunakan Energi Terbarukan, Batubara, dan Gas yang Dilakukan Melalui Kerja Sama dengan Pengembang Listrik Swasta",2013,225,"['Jaminan Kelayakan Usaha', 'Risiko Gagal Bayar', 'Risiko Terminasi', 'Risiko Politik', 'Pengembang Listrik Swasta, selanjutnya disingkat PLS', 'Proyek Pembangunan Pembangkit Tenaga Listrik', 'Perjanjian Jual Beli Tenaga Listrik', 'Pemenuhan Pembiayaan ( Financial Close', 'Masa Persiapan Proyek Pembangkit Listrik', 'Masa Konstruksi Proyek Pembangkit Listrik', 'Masa Operasi Proyek Pembangkit Listrik']",[],"['KETENTUAN UMUM', 'TUJUAN DAN RUANG LINGKUP JAMINAN KELAYAKAN USAHA', 'BENTUK DAN MASA BERLAKU JAMINAN KELAYAKAN USAHA', 'PROSEDUR DAN PERSYARATAN PEMBERIAN JAMINAN KELAYAKAN USAHA', 'PEMANTAUAN DAN MITIGASI RISIKO', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Bentuk', 'Masa Berlaku Proyek Pembangkit Listrik Selain Pembangkit Listrik Tenaga Panas Bumi', 'Masa Berlaku Proyek Pembangkit Listrik Tenaga Panas Bumi', 'Proyek Pembangkit Listrik Selain Pembangkit Listrik Tenaga Panas Bumi', 'Proyek Pembangkit Listrik Tenaga Panas Bumi', 'Proyek Pembangkit Listrik Penambahan Kapasitas Pembangkit Pada Pusat Pembangkit Tenaga Listrik Yang Telah Beroperasi Di Lokasi Yang Sama']","['Jaminan Kelayakan Usaha', 'Risiko Gagal Bayar', 'Risiko Terminasi', 'Risiko Politik', 'Pengembang Listrik Swasta, selanjutnya disingkat PLS', 'Proyek Pembangunan Pembangkit Tenaga Listrik', 'Perjanjian Jual Beli Tenaga Listrik', 'Pemenuhan Pembiayaan ( Financial Close', 'Masa Persiapan Proyek Pembangkit Listrik', 'Masa Konstruksi Proyek Pembangkit Listrik', 'Masa Operasi Proyek Pembangkit Listrik', 'TUJUAN DAN RUANG LINGKUP JAMINAN KELAYAKAN USAHA', 'BENTUK DAN MASA BERLAKU JAMINAN KELAYAKAN USAHA', 'PROSEDUR DAN PERSYARATAN PEMBERIAN JAMINAN KELAYAKAN USAHA', 'PEMANTAUAN DAN MITIGASI RISIKO', 'Bentuk', 'Masa Berlaku Proyek Pembangkit Listrik Selain Pembangkit Listrik Tenaga Panas Bumi', 'Masa Berlaku Proyek Pembangkit Listrik Tenaga Panas Bumi', 'Proyek Pembangkit Listrik Selain Pembangkit Listrik Tenaga Panas Bumi', 'Proyek Pembangkit Listrik Tenaga Panas Bumi', 'Proyek Pembangkit Listrik Penambahan Kapasitas Pembangkit Pada Pusat Pembangkit Tenaga Listrik Yang Telah Beroperasi Di Lokasi Yang Sama']"
100-pmk.05-2016,100/PMK.05/2016,Pedoman Umum Penyusunan Tarif Layanan Badan Layanan Umum,2016,100,['Badan Layanan Umum'],[],[],['Badan Layanan Umum']
76-pmk.07-2014,76/PMK.07/2014,"Pedoman Umum dan Alokasi Dana Tambahan Penghasilan Guru Pegawai Negeri Sipil Daerah Kepada Daerah Provinsi, Kabupaten, dan Kota Tahun Anggaran 2014",2014,76,['Dana Tambahan Penghasilan Guru Pegawai Negeri Sipil Daerah Tahun Anggaran 2014'],['DTP Guru PNSD'],[],['Dana Tambahan Penghasilan Guru Pegawai Negeri Sipil Daerah Tahun Anggaran 2014']
