nomor_peraturan,judul,tahun,no,definisi,heading,keywords
PP 21 TAHUN 2005,Ahli Teknologi Kekayaan Intelektual Serta Hasil Kegiatan Penelitian dan Pengembangan oleh Perguruan Tinggi dan Lembaga Penelitian dan Pengembangan,2005,21,"['Standar nasional pendidikan', 'Pendidikan formal', 'Pendidikan nonformal', 'Standar kompetensi lulusan', 'Standar isi', 'Standar proses', 'Standar pendidik dan tenaga kependidikan', 'Standar sarana dan prasarana', 'Standar pengelolaan', 'Standar pembiayaan', 'Standar penilaian pendidikan', 'Biaya operasi satuan pendidikan', 'Kurikulum', 'Kerangka dasar kurikulum', 'Kurikulum tingkat satuan pendidikan', 'Peserta didik', 'Penilaian', 'Evaluasi pendidikan', 'Ulangan', 'Ujian', 'Akreditasi']","['KETENTUAN UMUM', 'LINGKUP FUNGSI DAN TUJUAN', 'STANDAR ISI', 'Umum', 'Kerangka Dasar dan Struktur Kurikulum', 'Kurikulum Tingkat Satuan Pendidikan', 'Kalender Pendidikan Akademik', 'STANDAR PROSES', 'STANDAR KOMPETENSI LULUSAN', 'STANDAR PENDIDIK DAN TENAGA KEPENDIDIKAN', 'Penilaian Hasil Belajar oleh Pendidik', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Standar nasional pendidikan', 'Pendidikan formal', 'Pendidikan nonformal', 'Standar kompetensi lulusan', 'Standar isi', 'Standar proses', 'Standar pendidik dan tenaga kependidikan', 'Standar sarana dan prasarana', 'Standar pengelolaan', 'Standar pembiayaan', 'Standar penilaian pendidikan', 'Biaya operasi satuan pendidikan', 'Kurikulum', 'Kerangka dasar kurikulum', 'Kurikulum tingkat satuan pendidikan', 'Peserta didik', 'Penilaian', 'Evaluasi pendidikan', 'Ulangan', 'Ujian', 'Akreditasi', 'KETENTUAN UMUM', 'LINGKUP FUNGSI DAN TUJUAN', 'STANDAR ISI', 'Umum', 'Kerangka Dasar dan Struktur Kurikulum', 'Kurikulum Tingkat Satuan Pendidikan', 'Kalender Pendidikan Akademik', 'STANDAR PROSES', 'STANDAR KOMPETENSI LULUSAN', 'STANDAR PENDIDIK DAN TENAGA KEPENDIDIKAN', 'Penilaian Hasil Belajar oleh Pendidik', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
47/PMK.05/2017,Pelaksanaan Likuidasi Entitas Akuntansi pada Bagian Anggaran Bendahara Umum Negara,2017,47,"['Bagian Anggaran Bendahara Umum Negara', 'Likuidasi', 'Entitas Akuntansi', 'Entitas Akuntansi yang Ditunjuk', 'Identitas Entitas Akuntansi', 'Neraca', 'Laporan Realisasi Anggaran', 'Laporan Operasional', 'Laporan Perubahan Ekuitas', 'Catatan atas Laporan Keuangan', 'Kantor Pelayanan Perbendaharaan Negara']","['KETENTUAN UMUM', 'RUANG LINGKUP', 'KRITERIA LIKUIDASI', 'LIKUIDASI ENTITAS AKUNTANSI', 'Penanggung Jawab Likuidasi', 'Penetapan Entitas Akuntansi Yang Ditunjuk', 'Tahapan Likuidasi', 'Penyelesaian Hak dan Kewajiban', 'Hak dan Kewajiban', 'Penyelesaian Saldo Kas dan Gaji Bulan Berikutnya', 'Penyelesaian Piutang dan Utang', 'Penyelesaian Investasi', 'Penyelesaian Persediaan Aset Tetap dan Aset Lainnya', 'Penyusunan Laporan Keuangan', 'PERNYATAAN TANGGUNG JAWAB', 'KETENTUAN PENUTUP']","['Bagian Anggaran Bendahara Umum Negara', 'Likuidasi', 'Entitas Akuntansi', 'Entitas Akuntansi yang Ditunjuk', 'Identitas Entitas Akuntansi', 'Neraca', 'Laporan Realisasi Anggaran', 'Laporan Operasional', 'Laporan Perubahan Ekuitas', 'Catatan atas Laporan Keuangan', 'Kantor Pelayanan Perbendaharaan Negara', 'KETENTUAN UMUM', 'RUANG LINGKUP', 'KRITERIA LIKUIDASI', 'LIKUIDASI ENTITAS AKUNTANSI', 'Penanggung Jawab Likuidasi', 'Penetapan Entitas Akuntansi Yang Ditunjuk', 'Tahapan Likuidasi', 'Penyelesaian Hak dan Kewajiban', 'Hak dan Kewajiban', 'Penyelesaian Saldo Kas dan Gaji Bulan Berikutnya', 'Penyelesaian Piutang dan Utang', 'Penyelesaian Investasi', 'Penyelesaian Persediaan Aset Tetap dan Aset Lainnya', 'Penyusunan Laporan Keuangan', 'PERNYATAAN TANGGUNG JAWAB', 'KETENTUAN PENUTUP']"
115/PMK.07/2013,Tata Cara Pemungutan dan Penyetoran Pajak Rokok,2013,115,"['Pajak Rokok', 'Rokok', 'Cukai Rokok', 'Surat Pemberitahuan Pajak Rokok', 'Permohonan Pemesanan Pita Cukai Hasil Tembakau', 'Wajib Pajak Rokok', 'Nomor Pokok Pengusaha Barang Kena Cukai', 'Pemungutan Pajak', 'Surat Setoran Bukan Pajak', 'Bank Persepsi', 'Pos Persepsi', 'Nomor Transaksi Penerimaan Negara', 'Nomor Transaksi Bank', 'Nomor Transaksi Pos', 'Rekening Kas Umum Negara', 'Rekening Kas Umum Daerah Provinsi', 'Kantor Bea dan Cukai', 'Kantor Pelayanan Perbendaharaan Negara', 'Anggaran Pendapatan dan Belanja Negara', 'Pengguna Anggaran', 'Kuasa Pengguna Anggaran', 'Pejabat Pembuat Komitmen', 'Pejabat Penandatangan Surat Perintah Membayar', 'Surat Ketetapan Pengembalian Pajak Rokok', 'Surat Permintaan Pembayaran', 'Surat Perintah Membayar Pajak Rokok', 'Surat Perintah Pencairan Dana', 'Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara', 'Arsip Data Komputer', 'Surat Keterangan Telah Dibukukan', 'Surat Keputusan Pengembalian Kelebihan Pembayaran Pajak Rokok', 'SPM Pengembalian Penerimaan']","['KETENTUAN UMUM', 'TATA CARA PEMUNGUTAN PAJAK ROKOK', 'Pemungutan', 'Pembayaran Pajak Rokok', 'Penagihan Kekurangan Pembayaran Pajak Rokok', 'PENYETORAN PAJAK ROKOK KE REKENING KAS UMUM DAERAH PROVINSI', 'Pejabat Perbendaharaan', 'Mekanisme Penyetoran Pajak Rokok', 'PENGEMBALIAN KELEBIHAN PEMBAYARAN PAJAK ROKOK', 'PELAPORAN DAN REKONSILIASI', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Pajak Rokok', 'Rokok', 'Cukai Rokok', 'Surat Pemberitahuan Pajak Rokok', 'Permohonan Pemesanan Pita Cukai Hasil Tembakau', 'Wajib Pajak Rokok', 'Nomor Pokok Pengusaha Barang Kena Cukai', 'Pemungutan Pajak', 'Surat Setoran Bukan Pajak', 'Bank Persepsi', 'Pos Persepsi', 'Nomor Transaksi Penerimaan Negara', 'Nomor Transaksi Bank', 'Nomor Transaksi Pos', 'Rekening Kas Umum Negara', 'Rekening Kas Umum Daerah Provinsi', 'Kantor Bea dan Cukai', 'Kantor Pelayanan Perbendaharaan Negara', 'Anggaran Pendapatan dan Belanja Negara', 'Pengguna Anggaran', 'Kuasa Pengguna Anggaran', 'Pejabat Pembuat Komitmen', 'Pejabat Penandatangan Surat Perintah Membayar', 'Surat Ketetapan Pengembalian Pajak Rokok', 'Surat Permintaan Pembayaran', 'Surat Perintah Membayar Pajak Rokok', 'Surat Perintah Pencairan Dana', 'Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara', 'Arsip Data Komputer', 'Surat Keterangan Telah Dibukukan', 'Surat Keputusan Pengembalian Kelebihan Pembayaran Pajak Rokok', 'SPM Pengembalian Penerimaan', 'KETENTUAN UMUM', 'TATA CARA PEMUNGUTAN PAJAK ROKOK', 'Pemungutan', 'Pembayaran Pajak Rokok', 'Penagihan Kekurangan Pembayaran Pajak Rokok', 'PENYETORAN PAJAK ROKOK KE REKENING KAS UMUM DAERAH PROVINSI', 'Pejabat Perbendaharaan', 'Mekanisme Penyetoran Pajak Rokok', 'PENGEMBALIAN KELEBIHAN PEMBAYARAN PAJAK ROKOK', 'PELAPORAN DAN REKONSILIASI', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
UU 11 TAHUN 1992,Dana Pensiun,1992,11,"['Dana Pensiun', 'Dana Pensiun Pemberi Kerja', 'Dana Pensiun Berdasarkan Keuntungan', 'Dana Pensiun Lembaga Keuangan', 'Peraturan Dana Pensiun', 'Program Pensiun', 'Program Pensiun Manfaat Pasti', 'Program Pensiun Iuran Pasti', 'Manfaat Pensiun', 'Manfaat Pensiun Normal', 'Manfaat Pensiun Dipercepat', 'Manfaat Pensiun Cacat', 'Pensiun Ditunda', 'Peserta', 'Pemberi Kerja', 'Pendiri', 'Mitra Pendiri', 'Pengurus', 'Dewan Pengawas', 'Pekerja Mandiri', 'Penerima Titipan', 'Buku Daftar Umum', 'Cacat', 'Menteri']","['KETENTUAN UMUM', 'JENIS DAN STATUS HUKUM DANA PENSIUN', 'DANA PENSIUN PEMBERI KERJA', 'Kepengurusan Dana Pensiun', 'Iuran Dana Pensiun', 'Hak Peserta', 'Kekayaan Dana Pensiun dan Pengelolaannva', 'Pembubaran dan Penyelesaian Dana Pensiun', 'DANA PENSIUN LEMBAGA KEUANGAN', 'PEMBERIAN FASILITAS PERPAJAKAN', 'PEMBINAAN DAN PENGAWASAN', 'KETENTUAN PIDANA', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Dana Pensiun', 'Dana Pensiun Pemberi Kerja', 'Dana Pensiun Berdasarkan Keuntungan', 'Dana Pensiun Lembaga Keuangan', 'Peraturan Dana Pensiun', 'Program Pensiun', 'Program Pensiun Manfaat Pasti', 'Program Pensiun Iuran Pasti', 'Manfaat Pensiun', 'Manfaat Pensiun Normal', 'Manfaat Pensiun Dipercepat', 'Manfaat Pensiun Cacat', 'Pensiun Ditunda', 'Peserta', 'Pemberi Kerja', 'Pendiri', 'Mitra Pendiri', 'Pengurus', 'Dewan Pengawas', 'Pekerja Mandiri', 'Penerima Titipan', 'Buku Daftar Umum', 'Cacat', 'Menteri', 'KETENTUAN UMUM', 'JENIS DAN STATUS HUKUM DANA PENSIUN', 'DANA PENSIUN PEMBERI KERJA', 'Kepengurusan Dana Pensiun', 'Iuran Dana Pensiun', 'Hak Peserta', 'Kekayaan Dana Pensiun dan Pengelolaannva', 'Pembubaran dan Penyelesaian Dana Pensiun', 'DANA PENSIUN LEMBAGA KEUANGAN', 'PEMBERIAN FASILITAS PERPAJAKAN', 'PEMBINAAN DAN PENGAWASAN', 'KETENTUAN PIDANA', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
59/PMK.04/2017,Tidak Dipungut Cukai,2017,59,"['Undang Undang Kepabeanan', 'Undang Undang Cukai', 'Cukai', 'Pabrik', 'Orang', 'Pengusaha Pabrik', 'Tempat Penyimpanan', 'Pengusaha Tempat Penyimpanan', 'Daerah Pabean', 'Kawasan Pabean', 'Tempat Penimbunan Sementara', 'Impor', 'Importir Barang Kena Cukai', 'Ekspor', 'Dokumen Cukai', 'Barang Kena Cukai Diangkut Lanjut', 'Barang Kena Cukai Diangkut Terus', 'Dikemas untuk Penjualan Eceran', 'Tidak Dikemas untuk Penjualan Eceran', 'Keadaan Darurat', 'Kantor Direktorat Jenderal Bea dan Cukai', 'Pejabat Bea dan Cukai']","['KETENTUAN UMUM', 'Tidak Dipungut Cukai atas Tembakau Iris dan Minuman Mengandung Etil Alkohol yang Dibuat secara Sederhana', 'Tidak Dipungut Cukai atas Barang Kena Cukai Diangkut Terus atau Diangkut Lanjut dengan Tujuan Luar Daerah Pabean', 'Tidak Dipungut Cukai atas Barang Kena Cukai yang Diekspor', 'Tidak Dipungut Cukai atas Barang Kena Cukai Dimasukkan ke Dalam Pabrik atau Tempat Penyimpanan', 'Tidak Dipungut Cukai atas Barang Kena Cukai yang Digunakan sebagai Bahan Baku atau Bahan Penolong dalam Pembuatan Barang Hasil Akhir yang Merupakan Barang Kena Cukai', 'Tidak Dipungut Cukai atas Barang Kena Cukai yang Musnah atau Rusak Sebelum Dikeluarkan dari Pabrik', 'Tidak Dipungut Cukai atas Barang Kena Cukai yang Musnah atau Rusak Sebelum Dikeluarkan dari Tempat Penyimpanan', 'Tidak Dipungut Cukai atas Barang Kena Cukai yang Musnah atau Rusak Sebelum Dikeluarkan dari Tempat Penimbunan Sementara', 'Tidak Dipungut Cukai Lainnya', 'Sanksi', 'Lain Lain', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Undang Undang Kepabeanan', 'Undang Undang Cukai', 'Cukai', 'Pabrik', 'Orang', 'Pengusaha Pabrik', 'Tempat Penyimpanan', 'Pengusaha Tempat Penyimpanan', 'Daerah Pabean', 'Kawasan Pabean', 'Tempat Penimbunan Sementara', 'Impor', 'Importir Barang Kena Cukai', 'Ekspor', 'Dokumen Cukai', 'Barang Kena Cukai Diangkut Lanjut', 'Barang Kena Cukai Diangkut Terus', 'Dikemas untuk Penjualan Eceran', 'Tidak Dikemas untuk Penjualan Eceran', 'Keadaan Darurat', 'Kantor Direktorat Jenderal Bea dan Cukai', 'Pejabat Bea dan Cukai', 'KETENTUAN UMUM', 'Tidak Dipungut Cukai atas Tembakau Iris dan Minuman Mengandung Etil Alkohol yang Dibuat secara Sederhana', 'Tidak Dipungut Cukai atas Barang Kena Cukai Diangkut Terus atau Diangkut Lanjut dengan Tujuan Luar Daerah Pabean', 'Tidak Dipungut Cukai atas Barang Kena Cukai yang Diekspor', 'Tidak Dipungut Cukai atas Barang Kena Cukai Dimasukkan ke Dalam Pabrik atau Tempat Penyimpanan', 'Tidak Dipungut Cukai atas Barang Kena Cukai yang Digunakan sebagai Bahan Baku atau Bahan Penolong dalam Pembuatan Barang Hasil Akhir yang Merupakan Barang Kena Cukai', 'Tidak Dipungut Cukai atas Barang Kena Cukai yang Musnah atau Rusak Sebelum Dikeluarkan dari Pabrik', 'Tidak Dipungut Cukai atas Barang Kena Cukai yang Musnah atau Rusak Sebelum Dikeluarkan dari Tempat Penyimpanan', 'Tidak Dipungut Cukai atas Barang Kena Cukai yang Musnah atau Rusak Sebelum Dikeluarkan dari Tempat Penimbunan Sementara', 'Tidak Dipungut Cukai Lainnya', 'Sanksi', 'Lain Lain', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
UU 2 TAHUN 2018,Perubahan Kedua atas Undang Undang Nomor 17 Tahun 2014 tentang Majelis Permusyawaratan Rakyat Dewan Perwakilan Rakyat Dewan Perwakilan Daerah dan Dewan Perwakilan Rakyat Daerah,2018,2,[],['A Badan Akuntabilitas Keuangan Negara'],['A Badan Akuntabilitas Keuangan Negara']
21/PMK.010/2011,Pengesahan Pendirian Dana Pensiun Lembaga Keuangan dan Perubahan Peraturan Dana Pensiun Dari Dana Pensiun Lembaga Keuangan,2011,21,['DanaAlokasiKhusus DAK dialokasikanuntukmembantudaerah mendanai kebutuhan fisik sarana dan prasarana dasar yang'],"['RUANG LINGKUP', 'ALOKASI', 'PENETAPAN ALOKASI Bagian Pertama Kriteria', 'Penetapan Alokasi', 'Arah Kebijakan dan Ruang Lingkup Kegiatan', 'PETUNJUK TEKNIS', 'PENGANGGARAN DAN PELAKSANAAN KEGIATAN', 'DANA PENDAMPING', 'PENYALURAN', 'PELAPORAN', 'PEMANTAUAN EVALUASI DAN PENGAWASAN', 'KETENTUAN PENUTUP']","['DanaAlokasiKhusus DAK dialokasikanuntukmembantudaerah mendanai kebutuhan fisik sarana dan prasarana dasar yang', 'RUANG LINGKUP', 'ALOKASI', 'PENETAPAN ALOKASI Bagian Pertama Kriteria', 'Penetapan Alokasi', 'Arah Kebijakan dan Ruang Lingkup Kegiatan', 'PETUNJUK TEKNIS', 'PENGANGGARAN DAN PELAKSANAAN KEGIATAN', 'DANA PENDAMPING', 'PENYALURAN', 'PELAPORAN', 'PEMANTAUAN EVALUASI DAN PENGAWASAN', 'KETENTUAN PENUTUP']"
PERPRES 28 TAHUN 2015,Kementerian Keuangan,2015,28,[],"['KEDUDUKAN TUGAS DAN FUNGSI', 'ORGANISASI', 'Susunan Organisasi', 'Sekretariat Jenderal', 'Direktorat Jenderal Anggaran', 'Direktorat Jenderal Pajak', 'Direktorat Jenderal Bea dan Cukai', 'Direktorat Jenderal Perbendaharaan', 'Direktorat Jenderal Kekayaan Negara', 'Direktorat Jenderal Perimbangan Keuangan', 'Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko', 'Inspektorat Jenderal', 'Badan Kebijakan Fiskal', 'Badan Pendidikan dan Pelatihan Keuangan', 'Staf Ahli', 'Pusat', 'Instansi Vertikal', 'Kelompok Jabatan Fungsional', 'STAF KHUSUS', 'TATA KERJA', 'ESELON PENGANGKATAN DAN PEMBERHENTIAN', 'PENDANAAN', 'KETENTUAN PERALIHAN', 'KETENTUAN LAIN LAIN', 'KETENTUAN PENUTUP']","['KEDUDUKAN TUGAS DAN FUNGSI', 'ORGANISASI', 'Susunan Organisasi', 'Sekretariat Jenderal', 'Direktorat Jenderal Anggaran', 'Direktorat Jenderal Pajak', 'Direktorat Jenderal Bea dan Cukai', 'Direktorat Jenderal Perbendaharaan', 'Direktorat Jenderal Kekayaan Negara', 'Direktorat Jenderal Perimbangan Keuangan', 'Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko', 'Inspektorat Jenderal', 'Badan Kebijakan Fiskal', 'Badan Pendidikan dan Pelatihan Keuangan', 'Staf Ahli', 'Pusat', 'Instansi Vertikal', 'Kelompok Jabatan Fungsional', 'STAF KHUSUS', 'TATA KERJA', 'ESELON PENGANGKATAN DAN PEMBERHENTIAN', 'PENDANAAN', 'KETENTUAN PERALIHAN', 'KETENTUAN LAIN LAIN', 'KETENTUAN PENUTUP']"
186/PMK.03/2019,Klasifikasi Objek Pajak dan Tata Cara Penetapan Nilai Jual Objek Pajak Pajak Bumi dan Bangunan,2019,186,"['Undang Undang Pajak Bumi dan Bangunan', 'Pajak Bumi dan Bangunan', 'Nilai Jual Objek Pajak', 'Subjek Pajak PBB', 'Wajib Pajak PBB', 'Perbandingan Harga dengan Objek Lain yang Sejenis', 'Nilai Perolehan Baru', 'Nilai Jual Objek Pajak Pengganti', 'Biaya Investasi Tanaman', 'Hutan Produksi', 'Hutan Alam', 'Hutan Tanaman', 'Izin Usaha Pemanfaatan Hasil Hutan Kayu dalam Hutan Alam', 'Izin Usaha Pemanfaatan Hasil Hutan Kayu pada Hutan Tanaman Industri dalam Hutan Tanaman pada Hutan Produksi', 'Izin Usaha Pemanfaatan Hasil Hutan Kayu Restorasi Ekosistem dalam Hutan Alam', 'Izin Usaha Pemanfaatan Hasil Hutan Bukan Kayu dari Hutan Alam pada Hutan Produksi', 'Izin Usaha Pemanfaatan Hasil Hutan Bukan Kayu dari Hutan Tanaman pada Hutan Produksi', 'Biaya Produksi Perhutanan', 'Wilayah Kerja Minyak dan Gas Bumi', 'Wilayah Kerja Panas Bumi', 'Kontrak Kerja Sama', 'Eksplorasi', 'Eksploitasi', 'Permukaan Bumi Pertambangan _Onshore_', 'Permukaan Bumi Pertambangan _Offshore_', 'Tubuh Bumi Eksplorasi', 'Tubuh Bumi Eksploitasi', 'Operasi Produksi', 'Tubuh Bumi Operasi Produksi', 'Harga Patokan Mineral Logam', 'Harga Patokan Mineral Bukan Logam', 'Harga Patokan Batuan', 'Harga Patokan Batubara', 'Angka Kapitalisasi', 'Rasio Biaya Produksi', 'Penilai Pajak', 'Surat Pemberitahuan Objek Pajak', 'Surat Pemberitahuan Pajak Terutang', 'Surat Ketetapan Pajak PBB', 'Surat Tagihan Pajak PBB', 'Tahun Pajak', 'Iuran Pembangunan Daerah']","['KETENTUAN UMUM', 'KLASIFIKASI OBJEK PAJAK', 'TATA CARA PENETAPAN NJOP SEBAGAI DASAR PENGENAAN PBB', 'Tata Cara Penetapan NJOP', 'Tata Cara Penetapan NJOP PBB Sektor Perkebunan', 'Tata Cara Penetapan NJOP PBB Sektor Perhutanan', 'Tata Cara Penetapan NJOP PBB Sektor Pertambangan Minyak dan Gas Bumi', 'Tata Cara Penetapan NJOP PBB Sektor Pertambangan untuk Pengusahaan Panas Bumi', 'Tata Cara Penetapan NJOP PBB Sektor Pertambangan Mineral atau Batubara', 'Tata Cara Penetapan NJOP PBB Sektor Lainnya', 'Tata Cara Penetapan NJOP Berdasarkan Kontrak Perjanjian atau Izin Usaha Pertambangan Khusus Operasi Produksi', 'Pengenaan PBB', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Undang Undang Pajak Bumi dan Bangunan', 'Pajak Bumi dan Bangunan', 'Nilai Jual Objek Pajak', 'Subjek Pajak PBB', 'Wajib Pajak PBB', 'Perbandingan Harga dengan Objek Lain yang Sejenis', 'Nilai Perolehan Baru', 'Nilai Jual Objek Pajak Pengganti', 'Biaya Investasi Tanaman', 'Hutan Produksi', 'Hutan Alam', 'Hutan Tanaman', 'Izin Usaha Pemanfaatan Hasil Hutan Kayu dalam Hutan Alam', 'Izin Usaha Pemanfaatan Hasil Hutan Kayu pada Hutan Tanaman Industri dalam Hutan Tanaman pada Hutan Produksi', 'Izin Usaha Pemanfaatan Hasil Hutan Kayu Restorasi Ekosistem dalam Hutan Alam', 'Izin Usaha Pemanfaatan Hasil Hutan Bukan Kayu dari Hutan Alam pada Hutan Produksi', 'Izin Usaha Pemanfaatan Hasil Hutan Bukan Kayu dari Hutan Tanaman pada Hutan Produksi', 'Biaya Produksi Perhutanan', 'Wilayah Kerja Minyak dan Gas Bumi', 'Wilayah Kerja Panas Bumi', 'Kontrak Kerja Sama', 'Eksplorasi', 'Eksploitasi', 'Permukaan Bumi Pertambangan _Onshore_', 'Permukaan Bumi Pertambangan _Offshore_', 'Tubuh Bumi Eksplorasi', 'Tubuh Bumi Eksploitasi', 'Operasi Produksi', 'Tubuh Bumi Operasi Produksi', 'Harga Patokan Mineral Logam', 'Harga Patokan Mineral Bukan Logam', 'Harga Patokan Batuan', 'Harga Patokan Batubara', 'Angka Kapitalisasi', 'Rasio Biaya Produksi', 'Penilai Pajak', 'Surat Pemberitahuan Objek Pajak', 'Surat Pemberitahuan Pajak Terutang', 'Surat Ketetapan Pajak PBB', 'Surat Tagihan Pajak PBB', 'Tahun Pajak', 'Iuran Pembangunan Daerah', 'KETENTUAN UMUM', 'KLASIFIKASI OBJEK PAJAK', 'TATA CARA PENETAPAN NJOP SEBAGAI DASAR PENGENAAN PBB', 'Tata Cara Penetapan NJOP', 'Tata Cara Penetapan NJOP PBB Sektor Perkebunan', 'Tata Cara Penetapan NJOP PBB Sektor Perhutanan', 'Tata Cara Penetapan NJOP PBB Sektor Pertambangan Minyak dan Gas Bumi', 'Tata Cara Penetapan NJOP PBB Sektor Pertambangan untuk Pengusahaan Panas Bumi', 'Tata Cara Penetapan NJOP PBB Sektor Pertambangan Mineral atau Batubara', 'Tata Cara Penetapan NJOP PBB Sektor Lainnya', 'Tata Cara Penetapan NJOP Berdasarkan Kontrak Perjanjian atau Izin Usaha Pertambangan Khusus Operasi Produksi', 'Pengenaan PBB', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
228/PMK.04/2014,Impor Sementara dengan Menggunakan Carnet atau Ekspor yang Dimaksudkan untuk Diimpor Kembali dalam Jangka Waktu Tertentu dengan Menggunakan Carnet,2014,228,"['Undang UndangKepabeanan', 'Daerah Pabean', 'Kawasan Pabean', 'Kewajiban Pabean', 'Orang', 'Pemberitahuan Pabean', 'Kantor Pabean', 'Impor Sementara', 'Pemegang _Carnet_', 'Menteri', 'Direktur Jenderal']","['KETENTUAN UMUM', 'BARANG YANG DAPAT MENGGUNAKAN _CARNET_', 'PENJAMINAN', 'PENERBIT DAN PENJAMIN _CARNET_', '_ATA CARNET_ DAN _CPD CARNET_', 'Penggunaan _ATA Carnet_ atau _CPD Carnet_', 'Masa Berlaku _ATA Carnet_ dan _CPD Carnet_', 'Penggantian _ATA Carnet_ dan _CPD Carnet_', 'Perubahan _ATA Carnet_ dan _CPD Carnet_', 'IMPOR SEMENTARA DENGAN MENGGUNAKAN _CARNET_', 'EKSPOR BARANG YANG DIMAKSUDKAN UNTUK DIIMPOR KEMBALI DALAM JANGKA WAKTU TERTENTU DENGAN MENGGUNAKAN _CARNET_', 'PENYELESAIAN IMPOR SEMENTARA DENGAN MENGGUNAKAN _CARNET_ SELAIN DIEKSPOR KEMBALI', 'KLAIM DAN SANKSI', 'Klaim atas _ATA Carnet_', 'Klaim atas _CPD Carnet_', 'Sanksi', 'PENUTUP']","['Undang UndangKepabeanan', 'Daerah Pabean', 'Kawasan Pabean', 'Kewajiban Pabean', 'Orang', 'Pemberitahuan Pabean', 'Kantor Pabean', 'Impor Sementara', 'Pemegang _Carnet_', 'Menteri', 'Direktur Jenderal', 'KETENTUAN UMUM', 'BARANG YANG DAPAT MENGGUNAKAN _CARNET_', 'PENJAMINAN', 'PENERBIT DAN PENJAMIN _CARNET_', '_ATA CARNET_ DAN _CPD CARNET_', 'Penggunaan _ATA Carnet_ atau _CPD Carnet_', 'Masa Berlaku _ATA Carnet_ dan _CPD Carnet_', 'Penggantian _ATA Carnet_ dan _CPD Carnet_', 'Perubahan _ATA Carnet_ dan _CPD Carnet_', 'IMPOR SEMENTARA DENGAN MENGGUNAKAN _CARNET_', 'EKSPOR BARANG YANG DIMAKSUDKAN UNTUK DIIMPOR KEMBALI DALAM JANGKA WAKTU TERTENTU DENGAN MENGGUNAKAN _CARNET_', 'PENYELESAIAN IMPOR SEMENTARA DENGAN MENGGUNAKAN _CARNET_ SELAIN DIEKSPOR KEMBALI', 'KLAIM DAN SANKSI', 'Klaim atas _ATA Carnet_', 'Klaim atas _CPD Carnet_', 'Sanksi', 'PENUTUP']"
