nama_file,nomor_peraturan,judul,tahun,nomor,konsideran,heading,definition_term,token_count,generated_topics
01~pmk.010~2011.json,PMK 01/PMK.010/2011,Perubahan atas Peraturan Menteri Keuangan Nomor 74/Pmk.010/2007 Tentang Penyelenggaraan Pertanggungan Asuransi pada Lini Usaha Asuransi Kendaraan Bermotor,2011,1," a. bahwa dalam rangka memperoleh perhitungan tarif premi referensi, biaya dan cadangan premi yang belum merupakan pendapatan terkait dengan pemasaran asuransi pada lini usaha asuransi kendaraan bermotor, perlu menyempurnakan format laporan profil risiko dan kerugian serta data biaya administrasi dan biaya umum lainnya untuk lini usaha asuransi kendaraan bermotor sebagaimana telah ditetapkan dalam Peraturan Menteri Keuangan Nomor 74/PMK.010/2007 tentang Penyelenggaraan Pertanggungan Asuransi Pada Lini Usaha Asuransi Kendaraan Bermotor; b. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a, perlu menetapkan Peraturan Menteri Keuangan tentang Perubahan Atas Peraturan Menteri Keuangan Nomor 74/PMK.010/2007 tentang Penyelenggaraan Pertanggungan Asuransi Pada Lini Usaha Asuransi Kendaraan Bermotor;",[],,258,Format laporan; Tarif premi; Pendapatan; Profil risiko; Kerugian; Data biaya; Administrasi; Biaya umum; Pemasaran; Asuransi kendaraan bermotor; Perubahan; Peraturan Menteri Keuangan.
02~pmk.05~2011.json,PMK 02/PMK.05/2011,Pedoman Akuntansi Dan Pelaporan Aset Berupa Barang Milik Negara yang Berasal Dari Kontraktor Kontrak Kerja Sama,2011,2," a. bahwa berdasarkan Peraturan Menteri Keuangan Nomor 135/PMK.06/2009 tentang Pengelolaan Barang Milik Negara Yang Berasal Dari Kontraktor Kontrak Kerja Sama sebagaimana telah diubah dengan Peraturan Menteri Keuangan Nomor 165/PMK.06/2010, telah ditetapkan pengaturan mengenai pengelolaan Barang Milik Negara yang berasal dari Kontraktor Kontrak Kerja Sama; b. bahwa dalam rangka pelaporan aset Kontraktor Kontrak Kerja Sama dalam Laporan Keuangan Pemerintah Pusat secara tertib dan akuntabel, diperlukan adanya pedoman akuntansi dan pelaporan aset Kontraktor Kontrak Kerja Sama; c. bahwa Peraturan Menteri Keuangan Nomor 171/PMK.05/2007 tentang Sistem Akuntansi Dan Pelaporan Keuangan Pemerintah Pusat, belum cukup mengatur pedoman akuntansi dan pelaporan aset Kontraktor Kontrak Kerja Sama; d. bahwa Menteri Keuangan selaku Bendahara Umum Negara memiliki kewenangan untuk menetapkan pengaturan mengenai pedoman akuntansi dan pelaporan aset Kontraktor Kontrak Kerja Sama; e. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a, huruf b, huruf c, dan huruf d, perlu menetapkan Peraturan Menteri Keuangan tentang Pedoman Akuntansi Dan Pelaporan Aset Berupa Barang Milik Negara Yang Berasal Dari Kontraktor Kontrak Kerja Sama;","['Pengertian', 'Ruang Lingkup', 'Sistem Akuntansi', 'Unit Akuntansi Pelaporan Keuangan', 'Unit Akuntansi Pelaporan Barang', 'Penyusunan Neraca Pembukaan', 'Pengakuan', 'Pengklasifikasian', 'Pengukuran', 'Dokumen Sumber', 'Pelaporan Keuangan', 'Penyampaian Laporan Keuangan', 'Pernyataan Telah Di- _review_', 'Pernyataan Tanggung Jawab']","['Kontraktor Kontrak Kerja Sama,', 'Barang yang menjadi milik/kekayaan negara yang berasal dari Kontraktor Kontrak Kerja Sama,', 'Barang Milik Negara', 'Unit Akuntansi Kuasa Pengelola Barang Bendahara Umum Negara,', 'Unit Akuntansi Pembantu Pengelola Barang Bendahara Umum Negara,', 'Unit Akuntansi Pengelola Barang Bendahara Umum Negara,', 'Unit Akuntansi Pengelola Barang,', 'Unit Akuntansi Kuasa Pengguna Anggaran Bendahara Umum Negara,', 'Unit Akuntansi Penggabungan Kuasa Pengguna Anggaran Bendahara Umum Negara,', 'Unit Akuntansi Pembantu Bendahara Umum Negara,', 'Unit Akuntansi Bendahara Umum Negara,', 'Nilai Wajar', 'Dokumen Sumber', 'Laporan Realisasi Anggaran Pendapatan']",397,Pedoman Akuntansi; Pelaporan Aset; Barang Milik Negara; Kontraktor Kontrak Kerja Sama.
02~pmk.07~2012.json,PMK 02/PMK.07/2012,Perkiraan Alokasi Dana Bagi Hasil Sumber Daya Alam Kehutanan Tahun Anggaran 2012,2012,2," bahwa untuk melaksanakan ketentuan Pasal 27 ayat (5) Peraturan Pemerintah Nomor 55 Tahun 2005 tentang Dana Perimbangan, perlu menetapkan Peraturan Menteri Keuangan tentang Perkiraan Alokasi Dana Bagi Hasil Sumber Daya Alam Kehutanan Tahun Anggaran 2012;",[],['Alokasi Dana Bagi Hasil Sumber Daya Alam Kehutanan (DBH SDA Kehutanan) Tahun Anggaran 2012 untuk masing-masing daerah'],89,Peraturan; Alokasi Dana; Bagi Hasil; Sumber Daya Alam; Kehutanan; Tahun Anggaran.
03~pmk.011~2012.json,PMK 03/PMK.011/2012,"Tata Cara Pengelolaan Dan Pertanggungjawaban Fasilitas Dana _Geothermal_ No.13, 2012 Kementerian Keuangan. Pengelolaan Dan Pertanggungjawaban. Fasilitas Dana. _Geothermal_ . Tata Cara. Peraturan Menteri Keuangan Republik Indonesia Nomor 03/Pmk.011/2012 Tentang Tata Cara Pengelolaan Dan Pertanggungjawaban Fasilitas Dana _Geothermal_",2012,3," a. bahwa dalam rangka mendukung usaha pemanfaatan panas bumi bagi pengembangan pembangkit listrik, diperlukan peran Pemerintah untuk mengurangi risiko usaha panas bumi; b. bahwa peran pemerintah sebagaimana dimaksud pada huruf a, dilakukan dengan menyediakan Dana _Geothermal_ yang dialokasikan dalam Anggaran Pendapatan dan Belanja Negara (APBN) dan/atau Anggaran dan Pendapatan dan Belanja Negara- Perubahan (APBN-P); c. bahwa untuk melaksanakan pengelolaan Dana _Geothermal_ yang telah dialokasikan dalam APBN dan/atau APBN-P, Menteri Keuangan telah menugaskan Pusat Investasi Pemerintah berdasarkan Keputusan Menteri Keuangan Nomor 286/KMK.011/2011 tentang Penugasan Kepada Pusat Investasi Pemerintah Untuk Melaksanakan Pengelolaan Dana _Geothermal_ ; d. bahwa sesuai ketentuan Pasal 7 Peraturan Menteri Keuangan Nomor 178/PMK.05/2011 tentang Tata Cara Penyediaan dan Pencairan Dana _Geothermal_ Dari Rekening Kas Negara Ke Rekening Induk Dana Investasi Pada Pusat Investasi Pemerintah, ketentuan mengenai pengelolaan Dana _Geothermal_ diatur dengan Peraturan Menteri Keuangan tersendiri; e. bahwa agar pelaksanaan pengelolaan Fasilitas Dana _Geothermal_ dilakukan secara transparan dan akuntabel sesuai dengan ketentuan pengelolaan keuangan negara, dipandang perlu mengatur tata cara pengelolaan dan pertanggungjawaban Fasilitas Dana _Geothermal_ ; f. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a, huruf b, huruf c, huruf d, dan huruf e, perlu menetapkan Peraturan Menteri Keuangan tentang Tata Cara Pengelolaan dan Pertanggungjawaban Fasilitas Dana _Geothermal_ ;","['Tujuan', 'Prinsip', 'Bentuk', 'Ruang Lingkup', 'Fasilitas Dana _Geothermal_ untuk Pemerintah Daerah', 'Fasilitas Dana _Geothermal_ untuk Pemegang IUP', 'Fasilitas Dana _Geothermal_ untuk Pemegang Kuasa Pengusahaan Sumber Daya Panas Bumi', 'Evaluasi dan Monitoring', 'Laporan', 'Pertanggungjawaban']","['Badan Usaha Penyedia Jasa Penyiapan Proyek KPS', 'Dana _Geothermal_', 'Fasilitas Dana _Geothermal_', 'Pusat Investasi Pemerintah', 'Izin Usaha Pertambangan Panas Bumi', 'IUP', 'Proyek Pembangkit Listrik Tenaga Panas Bumi KPS', 'Proyek PLTP KPS', 'Survei Pendahuluan', 'Kuasa Pengusahaan Sumber Daya Panas Bumi', 'Wilayah Kerja Pertambangan Panas Bumi', 'Wilayah Kerja']",500,Pemanfaatan panas bumi; Risiko usaha panas bumi; Dana Geothermal; Anggaran Pendapatan dan Belanja Negara (APBN); Anggaran dan Pendapatan dan Belanja Negara-Perubahan (APBN-P); Pengelolaan Dana Geothermal; Pusat Investasi Pemerintah; Penyediaan dan Pencairan Dana Geothermal; Rekening Kas Negara; Rekening Induk Dana Investasi; Transparansi dan akuntabilitas; Tata cara pengelolaan dan pertanggungjawaban; Fasilitas Dana Geothermal.
04~pmk.02~2014.json,PMK 04/PMK.02/2014,"Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 79/Pmk.010/2011 Tentang Kesehatan Keuangan Badan Penyelenggara Program Tabungan Hari Tua Pegawai Negeri Sipil No.22,2014 Kemenkeu. Badan Penyelenggaraan Program Tabungan Hari Tua. Kesehatan Keuangan. Perubahan. Peraturan Menteri Keuangan Republik Indonesia Nomor 04/Pmk.02/2014 Tentang Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 79/Pmk.010/2011 Tentang Kesehatan Keuangan Badan Penyelenggara Program Tabungan Hari Tua Pegawai Negeri Sipil",2014,4," a. bahwa dalam rangka mendukung agar kondisi perimbangan kekayaan dan kewajiban badan penyelenggara program tabungan hari tua pegawai negeri sipil menjadi lebih baik, dipandang perlu mengubah ketentuan mengenai rumusan perhitungan perimbangan kekayaan dan kewajiban badan penyelenggara program tabungan hari tua pegawai negeri sipil sebagaimana ditetapkan dalam Peraturan Menteri Keuangan Nomor 79/PMK.010/2011 tentang Kesehatan Keuangan Badan Penyelenggara Program Tabungan Hari Tua Pegawai Negeri Sipil sebagaimana telah diubah dengan Peraturan Menteri Keuangan Nomor 55/PMK.010/2012 tentang Perubahan Atas Peraturan Menteri Keuangan Nomor 79/PMK.010/2011 tentang Kesehatan Keuangan Badan Penyelenggara Program Tabungan Hari Tua Pegawai Negeri Sipil; b. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a, perlu menetapkan Peraturan Menteri Keuangan tentang Perubahan Kedua Atas Peraturan Menteri Keuangan Nomor 79/PMK.010/2011 tentang Kesehatan Keuangan Badan Penyelenggara Program Tabungan Hari Tua Pegawai Negeri Sipil;",[],,341,Perimbangan kekayaan dan kewajiban; Badan penyelenggara program tabungan hari tua; Peraturan Menteri Keuangan; Perubahan; Kesehatan keuangan; Pegawai negeri sipil.
04~pmk.06~2010.json,PMK 04/PMK.06/2010,Penilai Internal di Lingkungan direktorat Jenderal Kekayaan Negara,2010,4," a. bahwa dalam rangka pengelolaan kekayaan negara dan pengurusan piutang negara oleh Panitia Urusan Piutang Negara, dilakukan penilaian oleh Penilai Internal di lingkungan Direktorat Jenderal Kekayaan Negara; b. bahwa untuk meningkatkan pelayanan penilaian, meningkatkan kualitas hasil penilaian dan mengembangkan Penilai Internal, diperlukan pengaturan yang jelas, menyeluruh, dan terpadu mengenai Penilai Internal di lingkungan Direktorat Jenderal Kekayaan Negara; c. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, perlu menetapkan Peraturan Menteri Keuangan tentang Penilai Internal Di Lingkungan Direktorat Jenderal Kekayaan Negara;","['Umum', 'Syarat Pengangkatan', 'Usulan Pengangkatan', 'Kewenangan Penilai Direktorat Jenderal', 'Pembebastugasan Penilai Direktorat Jenderal', 'Pemberhentian Penilai Direktorat Jenderal']","['Menteri', 'Direktorat Jenderal', 'Kantor Pusat', 'Direktur Jenderal', 'Kantor Wilayah', 'Kantor Pelayanan', 'Penilaian', 'Penilai Internal Di Lingkungan Direktorat Jenderal Kekayaan Negara,', 'Penilai Direktorat Jenderal,', 'Tim Pemeriksa Kepatuhan Penilai Direktorat Jenderal,', 'Tim Kepatuhan,']",205,Penilaian; Pengelolaan; Piutang negara; Pelayanan; Kualitas hasil; Pengembangan; Pengaturan; Terpadu; Peraturan Menteri Keuangan.
04~pmk.07~2011.json,PMK 4/PMK.07/2011,Tata Cara Penyampaian Informasi Keuangan Daerah,2011,4," a. bahwa untuk melaksanakan Peraturan Pemerintah Nomor 56 Tahun 2005 tentang Sistem Informasi Keuangan Daerah, telah ditetapkan Peraturan Menteri Keuangan Nomor 46/PMK.02/2006 tentang Tata Cara Penyampaian Informasi Keuangan Daerah; b. bahwa sehubungan dengan telah ditetapkannya Peraturan Pemerintah Nomor 65 Tahun 2010 tentang Perubahan atas Peraturan Pemerintah Nomor 56 Tahun 2005 tentang Sistem Informasi Keuangan Daerah dan dalam rangka meningkatkan efektifitas dan efisiensi penyelenggaraan Sistem Informasi Keuangan Daerah, perlu mengatur kembali tata cara penyampaian Informasi Keuangan Daerah; c. bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a dan huruf b, perlu menetapkan Peraturan Menteri Keuangan tentang Tata Cara Penyampaian Informasi Keuangan Daerah;",[],"['Pemerintah Daerah', 'Daerah otonom,', 'Daerah,', 'Anggaran Pendapatan dan Belanja Negara,', 'Anggaran Pendapatan dan Belanja Daerah,', 'Dana Perimbangan', 'Dana Alokasi Umum,', 'Dana Bagi Hasil,', 'Dana Dekonsentrasi', 'Dana Tugas Pembantuan', 'Informasi Keuangan Daerah,', 'Sistem Informasi Keuangan Daerah,']",244,Peraturan Pemerintah; Sistem Informasi Keuangan Daerah; Peraturan Menteri Keuangan; Tata Cara Penyampaian; Efektivitas dan Efisiensi; Penyelenggaraan Sistem Informasi Keuangan Daerah.
05~pmk.05~2010.json,PMK 05/PMK.05/2010,Perubahan atas Peraturan Menteri Keuangan Nomor 57/Pmk.05/2007 Tentang Pengelolaan Rekening Milik Kementerian Negara/Lembaga/Kantor/Satuan Kerja,2010,5," a. bahwa ketentuan mengenai pengelolaan rekening milik kementerian negara/lembaga/kantor/satuan kerja telah diatur dalam Peraturan Menteri Keuangan Nomor 57/PMK.05/2007; b. bahwa dalam rangka pengelolaan rekening pada satuan kerja yang menerapkan Pola Pengelolaan Keuangan Badan Layanan Umum sebagaimana diatur dalam Peraturan Pemerintah Nomor 23 Tahun 2005 tentang Pengelolaan Keuangan Badan Layanan Umum, dipandang perlu mengubah beberapa ketentuan dalam Peraturan Menteri Keuangan Nomor 57/PMK.05/2007; c. bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a dan huruf b, perlu menetapkan Peraturan Menteri Keuangan tentang Perubahan atas Peraturan Menteri Keuangan Nomor 57/PMK.05/2007 tentang Pengelolaan Rekening Milik Kementerian Negara/Lembaga/ Kantor/Satuan Kerja;",[],"['Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara Pusat', 'Kuasa Bendahara Umum Negara di Daerah', 'Kantor/Satuan Kerja', 'Rekening Penerimaan', 'Rekening Pengeluaran', 'Rekening Kas Umum Negara', 'Bank Umum', 'Bank Sentral', 'Kantor Pos', 'Badan Layanan Umum,', 'BLU,']",265,Pengelolaan rekening; Peraturan Menteri Keuangan; Perubahan; Pola Pengelolaan Keuangan Badan Layanan Umum; Pengelolaan Keuangan; Kementerian Negara; Lembaga; Kantor; Satuan Kerja.
05~pmk.07~2011.json,PMK 05/PMK.07/2011,Alokasi Kurang Bayar Dana Bagi Hasil Sumber Daya Alam Pertambangan Minyak Bumi Dan Gas Bumi Tahun Anggaran 2008 yang dialokasikan Dalam Anggaran Pendapatan Danbelanja Negara Tahun Anggaran 2011,2011,5," bahwa dalam rangka penetapan alokasi Kurang Bayar Dana Bagi Hasil Sumber Daya Alam Pertambangan Minyak Bumi dan Gas Bumi Tahun Anggaran 2008 untuk provinsi dan kabupaten/kota yang telah dialokasikan dalam Undang-Undang Nomor 10 Tahun 2010 tentang Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2011, perlu menetapkan Peraturan Menteri Keuangan tentang Alokasi Kurang Bayar Dana Bagi Hasil Sumber Daya Alam Pertambangan Minyak Bumi dan Gas Bumi Tahun Anggaran 2008 yang Dialokasikan dalam Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2011;",[],"['(1) Alokasi Kurang Bayar Dana Bagi Hasil Sumber Daya Alam (DBH SDA) Pertambangan Minyak Bumi dan Gas Bumi Tahun Anggaran 2008 merupakan Penerimaan Negara Bukan Pajak SDA Pertambangan Minyak Bumi dan Gas Bumi Tahun Anggaran 2008 yang belum dibagihasilkan kepada provinsi dan kabupaten/kota. (2) Alokasi Kurang Bayar DBH SDA Pertambangan Minyak Bumi dan Gas Bumi Tahun Anggaran 2008 yang ditetapkan dalam Undang-Undang Nomor 10 Tahun 2010 tentang Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2011,', '716,00 (delapan ratus delapan puluh dua miliar lima ratus lima belas juta tiga ratus enam puluh empat ribu tujuh ratus enam belas rupiah). (3) Rincian alokasi Kurang Bayar DBH SDA Pertambangan Minyak Bumi dan Gas Bumi Tahun Anggaran 2008 sebagaimana dimaksud pada ayat (2) untuk provinsi dan kabupaten/kota']",175,Alokasi; Kurang Bayar; Dana Bagi Hasil; Sumber Daya Alam; Pertambangan; Minyak Bumi; Gas Bumi; Tahun Anggaran; Undang-Undang; Anggaran Pendapatan; Belanja Negara; Peraturan Menteri Keuangan.
05~pmk.08~2012.json,PMK 5/PMK.08/2012,Penerbitan Dan Penjualan Surat Berharga Syariah Negara di Pasar Perdana Dalam Negeri dengan Cara Lelang,2012,5," a. bahwa ketentuan mengenai penerbitan dan penjualan Surat Berharga Syariah Negara di pasar perdana dalam negeri dengan cara lelang sebagaimana diatur dalam Peraturan Menteri Keuangan Nomor 11/PMK.08/2009, belum memuat ketentuan yang memungkinkan penjualan Surat Berharga Syariah Negara melalui metode lelang Surat Berharga Syariah Negara tambahan __ atau _green shoe option_ ; b. bahwa pengaturan mengenai metode lelang Surat Berharga Syariah Negara tambahan __ sebagaimana dimaksud dalam huruf a perlu dilakukan dalam rangka mempercepat pengembangan pasar Surat Berharga Syariah Negara dan mendorong pasar keuangan syariah pada umumnya; c. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, perlu menetapkan Peraturan Menteri Keuangan tentang Penerbitan dan Penjualan Surat Berharga Syariah Negara di Pasar Perdana Dalam Negeri dengan Cara Lelang;","['Pelaksanaan Lelang SBSN', 'Pelaksanaan Lelang SBSN Tambahan']","['Surat Berharga Syariah Negara', 'SBSN Jangka Pendek atau disebut Surat Perbendaharaan Negara Syariah', 'SBSN Jangka Panjang', 'Imbalan', 'Perusahaan Penerbit SBSN', 'Menteri', 'Peserta Lelang', 'Bank', 'Perusahaan Efek', 'Pihak', 'Lembaga Penjamin Simpanan', 'Agen Lelang', 'Lelang', 'Lelang SBSN', 'Lelang SBSN Tambahan _(Green Shoe Option)_ selanjutnya disebut Lelang SBSN Tambahan', 'Setelmen', 'Imbal Hasil ( _Yield_ )', 'Penawaran Pembelian Kompetitif ( _Competitive Bidding_ )', 'Penawaran Pembelian Non Kompetitif ( _Non Competitive Bidding_ )', 'Harga Beragam ( _Multiple Price_ )', 'Harga Seragam ( _Uniform Price_ )', 'Harga Rata-rata Tertimbang ( _Weighted Average Price_ )', 'Wali Amanat', 'Harga Setelmen', 'Hari Kerja']",266,Metode lelang; Surat Berharga Syariah Negara; Pasar perdana; Pengembangan pasar; Pasar keuangan syariah.
